x_m,y_m,n_Cu_m3,S_iz_Cu_m3_s,Bx_T,By_T,Bmag_T
-0.069375,0.453125,2.8342630310052362e+17,18806630.859405015,4.0230242953856014e-05,-0.0014660550627180772,0.0014666069409932
-0.069375,0.459375,2.451254513301848e+17,16599278.734408217,3.859059220486003e-05,-0.0014679848065753762,0.0014684919564447287
-0.069375,0.46562499999999996,2.0682459955984342e+17,14650871.776632907,3.7016200650899514e-05,-0.0014697961708040658,0.0014702622156679815
-0.069375,0.47187499999999993,1.9916442920577338e+17,12931056.527527548,3.550490387038234e-05,-0.0014714969500255078,0.0014719252264069724
-0.069375,0.47812499999999997,2.144847699139117e+17,11413033.39884447,3.4054543678030116e-05,-0.0014730943933760454,0.0014734879720381356
-0.069375,0.48437499999999994,2.451254513301848e+17,10073141.315012446,3.266297904264605e-05,-0.0014745952444608261,0.0014749569502824223
-0.069375,0.490625,2.374652809761144e+17,8890490.76742232,3.132809514516978e-05,-0.0014760057783181721,0.0014763382089392856
-0.069375,0.49687499999999996,2.144847699139117e+17,7846639.662061561,3.0047810827199262e-05,-0.0014773318356132098,0.0014776373788760906
-0.069375,0.5031249999999999,2.2980511062204618e+17,6925306.989610345,2.8820084648640055e-05,-0.001478578854265397,0.001478859704488539
-0.069375,0.5093749999999999,2.6044579203832134e+17,6112119.920939721,2.764291974551143e-05,-0.0014797518987009904,0.001480010071831014
-0.069375,0.515625,2.5278562168425306e+17,5394390.439199993,2.651436765471393e-05,-0.0014808556869084404,0.0014810930346001896
-0.069375,0.5218749999999999,2.144847699139117e+17,4760918.069727304,2.5432531251335386e-05,-0.001481894615462286,0.0014821128381408638
-0.069375,0.528125,1.3788306637322653e+17,4201815.667393561,2.439556692547089e-05,-0.0014828727826693268,0.0014830734416296071
-0.069375,0.534375,1.915042588517069e+17,3708355.5736258584,2.3401686109239757e-05,-0.001483794009979733,0.0014839785385794809
-0.069375,0.5406249999999999,2.0682459955984342e+17,3272833.767321231,2.2449156250409128e-05,-0.0014846618617952898,0.0014848315757976767
-0.069375,0.546875,1.915042588517069e+17,2888449.9099058514,2.153630131653932e-05,-0.0014854796637971703,0.0014856357709174045
-0.069375,0.5531249999999999,2.374652809761165e+17,2549201.4289359353,2.066150190262525e-05,-0.0014862505199064572,0.001486394128615653
-0.069375,0.559375,2.374652809761123e+17,2249790.00055685,1.9823195005632295e-05,-0.0014869773279820879,0.0014871094556195186
-0.069375,0.565625,1.915042588517069e+17,1985538.9820628057,1.9019873520947695e-05,-0.0014876627943529266,0.0014877843745955631
-0.069375,0.5718749999999999,1.9916442920577517e+17,1752320.514599019,1.8250085508437333e-05,-0.0014883094472732759,0.0014884213370090972
-0.069375,0.578125,1.302228960191607e+17,1546491.1652685294,1.751243326938949e-05,-0.0014889196493842682,0.0014890226350333252
-0.069375,0.5843749999999999,1.608635774354338e+17,1364835.1098003802,1.680557227002273e-05,-0.0014894956092572128,0.0014895904125818743
-0.069375,0.590625,1.915042588517035e+17,1204513.9735038124,1.612820994233809e-05,-0.0014900393920890896,0.0014901266755323749
-0.069375,0.596875,2.2980511062204826e+17,1063022.551245481,1.5479104388819554e-05,-0.0014905529296149196,0.0014906333012033172
-0.065625,0.0031249999999999997,1.5320340708136502e+16,478514861235.5848,-0.0028556474541450117,-0.0006076467604287726,0.0029195816426030065
-0.065625,0.009375,4.59610221244095e+16,416116250809.0453,-0.0026782644769962685,-0.00044126070286271113,0.002714371311488351
-0.065625,0.015625,3.0640681416273e+16,361775461572.77094,-0.002491193503522879,-0.0002999303335135871,0.002509183787002492
-0.065625,0.021875,7.660170354068253e+16,314499430164.21893,-0.0022983549097488933,-0.00018375442552947402,0.002305688829844242
-0.065625,0.028124999999999997,1.3788306637322853e+17,273405849460.17065,-0.002103433053658714,-9.21496673825246e-05,0.0021054505865545103
-0.065625,0.034374999999999996,1.6086357743543315e+17,237712886508.21948,-0.001909757981964413,-2.39551087414234e-05,0.0019099082168815339
-0.065625,0.040624999999999994,1.7618391814356976e+17,206729734531.23312,-0.001720223456634118,2.2446647320435503e-05,0.001720369899972143
-0.065625,0.046875,1.4554323672729677e+17,179847866114.97235,-0.0015372410521562031,4.9003025094268614e-05,0.00153802189480602
-0.065625,0.05312499999999999,2.14484769913911e+17,156532911343.13306,-0.0013627268689989827,5.786956021197002e-05,0.0013639550599234922
-0.065625,0.059375,2.5278562168425222e+17,136317128365.4591,-0.0011981153033462277,5.1299759702709254e-05,0.0011992130525715517
