x_m,Gamma_Cu0_target_return_m1_s,Gamma_Cu0_wafer_m1_s,Gamma_Cuplus_target_m1_s,Gamma_Cuplus_wafer_m1_s
0.03937499999999999,0.0,5.0576486239646555e+20,0.0,0.0
0.043125,0.0,5.780169855959689e+20,0.0,0.0
0.046875,0.0,4.816808213299672e+20,0.0,0.0
0.050625,0.0,6.261850677289664e+20,0.0,0.0
0.05437500000000001,0.0,6.261850677289573e+20,0.0,0.0
0.05812500000000001,0.0,6.261850677289664e+20,0.0,0.0
0.061874999999999986,0.0,5.298489034629715e+20,0.0,0.0
0.06562499999999999,0.0,5.298489034629639e+20,0.0,0.0
0.06937499999999999,0.0,6.984371909284626e+20,0.0,0.0
0.073125,0.0,6.74353149861954e+20,0.0,0.0
0.076875,0.0,6.261850677289664e+20,0.0,0.0
0.080625,0.0,6.261850677289573e+20,0.0,0.0
0.084375,0.0,6.502691087954651e+20,0.0,0.0
0.08812499999999998,0.0,5.780169855959689e+20,0.0,0.0
0.09187499999999998,0.0,6.984371909284524e+20,0.0,0.0
0.09562499999999999,0.0,5.780169855959689e+20,0.0,0.0
0.09937499999999999,0.0,5.298489034629639e+20,0.0,0.0
0.103125,0.0,5.298489034629715e+20,0.0,0.0
0.106875,0.0,5.0576486239646555e+20,0.0,0.0
0.110625,0.0,6.502691087954651e+20,0.0,0.0
0.114375,0.0,4.816808213299672e+20,0.0,0.0
0.11812500000000001,0.0,6.502691087954651e+20,0.0,0.0
0.12187499999999998,0.0,5.298489034629715e+20,0.0,0.0
0.125625,0.0,8.67025478393941e+20,0.0,0.0
0.129375,0.0,7.706893141279589e+20,0.0,0.0
0.133125,0.0,4.335127391969705e+20,0.0,0.0
0.136875,0.0,7.225212319949614e+20,0.0,0.0
0.140625,0.0,5.0576486239646555e+20,0.0,0.0
0.144375,0.0,6.261850677289664e+20,0.0,0.0
0.148125,0.0,6.261850677289573e+20,0.0,0.0
0.151875,0.0,0.0,0.0,0.0
0.15562499999999999,0.0,0.0,0.0,0.0
0.159375,0.0,0.0,0.0,0.0
0.163125,0.0,0.0,0.0,0.0
0.166875,0.0,0.0,0.0,0.0
0.170625,0.0,0.0,0.0,0.0
0.174375,0.0,0.0,0.0,0.0
0.178125,0.0,0.0,0.0,0.0
0.18187499999999998,0.0,0.0,0.0,0.0
0.18562499999999998,0.0,0.0,0.0,0.0
0.189375,0.0,0.0,0.0,0.0
0.193125,0.0,0.0,0.0,0.0
0.196875,0.0,0.0,0.0,0.0
0.200625,0.0,0.0,0.0,0.0
0.204375,0.0,0.0,0.0,0.0
